Estado,Infetados,Mortes,Populacao,Media_Idades
NewHampshire,370096,2879,1389000,37.1
NewJersey,2958722,35649,8414350,36.7
NewMexico,661596,8880,1819046,34.6
NewYork,6622254,78285,18976457,35.9
NorthCarolina,3359796,28917,12214549,35.3
NorthDakota,281092,2479,642200,36.2
Ohio,3321463,41189,11353140,36.2
Oklahoma,1255673,16093,3450654,35.5
Oregon,942121,9029,3421399,36.3
Pennsylvania,3433278,49119,12281054,38
RhodeIsland,448206,3820,1048319,36.7
SouthCarolina,1791933,19538,4012012,35.4
SouthDakota,272367,3144,754844,35.6
Tennessee,2378610,28305,5689283,35.9
Texas,8153335,92890,20851820,32.3
Wyoming,183385,1968,493782,36.2
Utah,1077359,5206,2233169,27.1
Vermont,148835,791,608827,37.7
Virginia,2229877,22952,7078515,35.7
Alabama,1587224,21263,4447100,35.8
Alaska,302604,1408,626932,32.4
Arizona,2384521,32311,5130632,34.2
Arkansas,989853,12737,2673400,36
California,11888255,101403,33871648,33.3
Colorado,1740135,13945,4301261,34.3
Connecticut,956351,11858,3405565,37.4
Delaware,323151,3218,783600,36
DistrictofColumbia,174559,1411,572059,34.6
Florida,7350177,84176,15982378,38.7
Georgia,2911981,40071,8186453,33.4
Hawaii,364478,1762,1211537,36.2
Washington,1889201,15175,5894121,35.3
Idaho,512849,5334,1293953,33.2
Illinois,3988172,40747,12419293,34.7
Indiana,2011911,25470,6080485,35.2
Iowa,888667,10465,2926324,36.6
WestVirginia,628901,7869,1808344,38.9
Kansas,919925,9914,2688418,35.2
Kentucky,1674744,17824,4041769,35.9
Louisiana,1521203,18394,4468976,34
Maine,308350,2832,1274923,38.6
Maryland,1330397,16144,5296486,36
Massachusetts,2166835,23097,6349097,36.5
Michigan,2999094,40948,9938444,35.5
Minnesota,1741611,14357,4919479,35.4
Wisconsin,1970004,15960,5363675,36
Mississippi,960923,13145,2844658,33.8
Missouri,1754348,23442,5595211,36.1
Montana,324211,3640,902195,37.5
Nebraska,558235,4886,1711263,35.3
Nevada,876118,11917,1998257,35